#{"t_start": 1762829265.797517, "env_id": null}
r,l,t
17.365765,28,0.416457
20.314198,28,0.427458
21.064393,28,0.437457
20.269864,28,0.447458
22.919472,28,0.455457
20.91705,28,0.485481
21.784012,28,0.496457
19.251945,28,0.507457
18.937271,28,0.517457
19.091527,28,0.527457
20.554875,28,0.538534
21.283393,28,0.559457
22.104428,28,0.568457
19.797923,28,0.579459
22.659324,28,0.587457
20.601083,28,0.597457
21.146298,28,0.607464
21.147459,28,0.628458
21.985502,28,0.637457
19.049971,28,0.646459
21.057478,28,0.656457
19.533108,28,0.666457
20.453632,28,0.676457
20.253662,28,0.696459
19.834643,28,0.704458
21.214408,28,0.714458
19.912536,28,0.725563
19.558832,28,0.734457
19.106401,28,0.752459
20.276415,28,0.762458
20.876342,28,0.773457
20.217099,28,0.782556
22.958025,28,0.79159
22.362962,28,0.800457
21.087022,28,0.820073
18.281957,28,0.829019
19.267905,28,0.838019
21.057213,28,0.84702
21.548951,28,0.85802
20.539903,28,0.867019
19.957124,28,0.88802
19.20371,28,0.899019
21.628318,28,0.907019
19.248026,28,0.917019
17.599762,28,0.926021
21.497222,28,0.93502
21.668497,28,0.95802
19.276791,28,0.967022
19.846248,28,0.977019
19.79181,28,0.986019
19.104893,28,0.996019
19.550726,28,1.004019
20.594021,28,1.024043
19.917754,28,1.03302
18.70981,28,1.041034
20.978033,28,1.05102
17.995923,28,1.063019
21.583749,28,1.082019
