#{"t_start": 1762829269.435901, "env_id": null}
r,l,t
16.832417,25,0.472584
16.876267,25,0.483506
17.798252,25,0.493017
19.086663,25,0.504026
17.136579,25,0.514016
17.342825,25,0.547016
18.454789,25,0.556015
18.423674,25,0.565016
19.1714,25,0.573015
16.457641,25,0.581854
18.913757,25,0.589854
19.333136,25,0.612854
18.94294,25,0.620854
16.73084,25,0.628854
18.281543,25,0.637854
17.143088,25,0.646411
19.327994,25,0.66541
18.717045,25,0.675956
16.608887,25,0.684963
18.957347,25,0.692959
18.29093,25,0.701959
19.37879,25,0.709959
16.919377,25,0.732959
19.681671,25,0.740959
16.870067,25,0.748959
15.408126,25,0.75696
18.700324,25,0.76596
15.404607,25,0.773959
17.054392,25,0.796959
20.517156,25,0.805979
16.28528,25,0.813959
20.049957,25,0.821959
17.484572,25,0.828959
20.505281,25,0.850044
19.648558,25,0.85996
18.021781,25,0.868959
19.20537,25,0.878959
19.019553,25,0.886959
18.617249,25,0.893959
16.654425,25,0.915959
17.922735,25,0.92396
18.610699,25,0.932958
16.196738,25,0.940959
18.446475,25,0.947959
18.094163,25,0.956959
20.608608,25,0.97696
16.872892,25,0.985959
17.425279,25,0.993958
17.201547,25,1.000958
17.563081,25,1.009959
16.373966,25,1.03296
17.247468,25,1.040958
19.474964,25,1.048959
18.250284,25,1.056959
16.797304,25,1.064958
18.092588,25,1.072959
