#{"t_start": 1762829270.8414812, "env_id": null}
r,l,t
22.445396,31,0.389273
25.098858,31,0.403322
25.10568,31,0.415273
23.274772,31,0.427273
22.064814,31,0.439318
21.121082,31,0.473273
22.218467,31,0.484272
24.364344,31,0.495348
21.718664,31,0.507272
22.325879,31,0.517272
20.761327,31,0.528349
23.957965,31,0.552275
24.46654,31,0.564273
24.482063,31,0.575273
24.531338,31,0.587273
23.213238,31,0.597272
21.854277,31,0.608306
26.255989,31,0.631272
20.802248,31,0.642273
23.919841,31,0.654272
24.26749,31,0.664272
24.32006,31,0.675272
22.826508,31,0.685272
22.613356,31,0.709273
21.715042,31,0.719345
23.737371,31,0.729272
22.610598,31,0.739272
25.163689,31,0.750273
23.032333,31,0.759324
24.50584,31,0.783273
24.145725,31,0.794272
24.497734,31,0.803272
21.775974,31,0.813273
22.398079,31,0.823272
22.204437,31,0.832272
21.308677,31,0.857274
23.981277,31,0.868272
23.696414,31,0.878272
23.09186,31,0.888272
23.147147,31,0.899272
24.819241,31,0.911272
23.129373,31,0.938273
23.256356,31,0.948272
23.892587,31,0.95839
22.823518,31,0.968274
22.697314,31,0.980273
24.399036,31,0.990272
21.32549,31,1.013274
21.107491,31,1.023273
22.493931,31,1.035272
22.364521,31,1.047272
24.017582,31,1.059272
21.964313,31,1.069273
21.241186,31,1.097805
23.00018,31,1.108805
23.556176,31,1.117804
23.318184,31,1.127804
22.033577,31,1.137804
23.218154,31,1.147805
