#{"t_start": 1762829272.354265, "env_id": null}
r,l,t
20.85126,30,0.469464
23.199327,30,0.481463
23.137858,30,0.493464
19.071473,30,0.503463
23.268589,30,0.512495
22.095842,30,0.553464
23.687818,30,0.563463
20.769162,30,0.57597
21.360588,30,0.587969
19.223495,30,0.59697
22.134028,30,0.60797
23.081141,30,0.635809
21.887949,30,0.646809
22.26818,30,0.65581
24.963469,30,0.667329
19.760698,30,0.67633
20.400294,30,0.687351
20.575045,30,0.715329
24.204835,30,0.72533
21.88636,30,0.734184
20.86134,30,0.744183
23.936887,30,0.755183
22.432335,30,0.763721
21.390547,30,0.789722
21.874846,30,0.798721
22.17889,30,0.810721
20.806305,30,0.819723
22.921607,30,0.828721
23.421914,30,0.838722
23.201365,30,0.865721
22.154472,30,0.876721
21.067674,30,0.884721
21.461209,30,0.894721
23.953614,30,0.903721
24.331814,30,0.915722
19.720989,30,0.947721
21.273954,30,0.957721
19.5747,30,0.966826
22.506515,30,0.976721
21.113761,30,0.986721
21.518052,30,0.99772
21.222464,30,1.025722
23.107115,30,1.036722
20.142582,30,1.048721
22.203387,30,1.060722
23.871744,30,1.070721
23.343686,30,1.080721
24.520588,30,1.105721
19.375649,30,1.115721
21.740344,30,1.124721
23.406189,30,1.132721
21.874145,30,1.141757
20.488859,30,1.154722
22.679724,30,1.181721
22.26303,30,1.190722
20.791343,30,1.200721
20.481827,30,1.210721
17.56565,30,1.219723
22.808731,30,1.22872
